T[s]	Sd/g[-]
0.636318	0.178407
0.638319	0.177848
0.640320	0.177292
0.642321	0.176740
0.644322	0.176191
0.646323	0.175645
0.648324	0.175103
0.650325	0.174565
0.652326	0.174029
0.654327	0.173497
0.656328	0.172968
0.658329	0.172442
0.660330	0.171920
0.662331	0.171400
0.664332	0.170884
0.666333	0.170371
0.668334	0.169861
0.670335	0.169354
0.672336	0.168850
0.674337	0.168349
0.676338	0.167851
0.678339	0.167355
0.680340	0.166863
0.682341	0.166374
0.684342	0.165887
0.686343	0.165404
0.688344	0.164923
0.690345	0.164445
0.692346	0.163970
0.694347	0.163497
0.696348	0.163027
0.698349	0.162560
0.700350	0.162096
0.702351	0.161634
0.704352	0.161175
0.706353	0.160718
0.708354	0.160264
0.710355	0.159813
0.712356	0.159364
0.714357	0.158917
0.716358	0.158473
0.718359	0.158032
0.720360	0.157593
0.722361	0.157156
0.724362	0.156722
0.726363	0.156291
0.728364	0.155861
0.730365	0.155434
0.732366	0.155009
0.734367	0.154587
0.736368	0.154167
0.738369	0.153749
0.740370	0.153334
0.742371	0.152920
0.744372	0.152509
0.746373	0.152100
0.748374	0.151694
0.750375	0.151289
0.752376	0.150887
0.754377	0.150487
0.756378	0.150089
0.758379	0.149693
0.760380	0.149299
0.762381	0.148907
0.764382	0.148517
0.766383	0.148129
0.768384	0.147743
0.770385	0.147360
0.772386	0.146978
0.774387	0.146598
0.776388	0.146220
0.778389	0.145844
0.780390	0.145470
0.782391	0.145098
0.784392	0.144728
0.786393	0.144360
0.788394	0.143994
0.790395	0.143629
0.792396	0.143266
0.794397	0.142905
0.796398	0.142546
0.798399	0.142189
0.800400	0.141834
0.802401	0.141480
0.804402	0.141128
0.806403	0.140778
0.808404	0.140429
0.810405	0.140083
0.812406	0.139738
0.814407	0.139394
0.816408	0.139053
0.818409	0.138713
0.820410	0.138374
0.822411	0.138038
0.824412	0.137703
0.826413	0.137369
0.828414	0.137037
0.830415	0.136707
0.832416	0.136379
0.834417	0.136051
0.836418	0.135726
0.838419	0.135402
0.840420	0.135080
0.842421	0.134759
0.844422	0.134440
0.846423	0.134122
0.848424	0.133805
0.850425	0.133491
0.852426	0.133177
0.854427	0.132865
0.856428	0.132555
0.858429	0.132246
0.860430	0.131938
0.862431	0.131632
0.864432	0.131327
0.866433	0.131024
0.868434	0.130722
0.870435	0.130422
0.872436	0.130123
0.874437	0.129825
0.876438	0.129528
0.878439	0.129233
0.880440	0.128940
0.882441	0.128647
0.884442	0.128356
0.886443	0.128067
0.888444	0.127778
0.890445	0.127491
0.892446	0.127205
0.894447	0.126921
0.896448	0.126637
0.898449	0.126355
0.900450	0.126074
0.902451	0.125795
0.904452	0.125517
0.906453	0.125239
0.908454	0.124964
0.910455	0.124689
0.912456	0.124416
0.914457	0.124143
0.916458	0.123872
0.918459	0.123602
0.920460	0.123334
0.922461	0.123066
0.924462	0.122800
0.926463	0.122534
0.928464	0.122270
0.930465	0.122007
0.932466	0.121746
0.934467	0.121485
0.936468	0.121225
0.938469	0.120967
0.940470	0.120710
0.942471	0.120453
0.944472	0.120198
0.946473	0.119944
0.948474	0.119691
0.950475	0.119439
0.952476	0.119188
0.954477	0.118938
0.956478	0.118689
0.958479	0.118441
0.960480	0.118195
0.962481	0.117949
0.964482	0.117704
0.966483	0.117461
0.968484	0.117218
0.970485	0.116976
0.972486	0.116736
0.974487	0.116496
0.976488	0.116257
0.978489	0.116019
0.980490	0.115783
0.982491	0.115547
0.984492	0.115312
0.986493	0.115078
0.988494	0.114845
0.990495	0.114613
0.992496	0.114382
0.994497	0.114152
0.996498	0.113923
0.998499	0.113694
1.000500	0.113467
1.002501	0.113240
1.004502	0.113015
1.006503	0.112790
1.008504	0.112566
1.010505	0.112344
1.012506	0.112121
1.014507	0.111900
1.016508	0.111680
1.018509	0.111461
1.020510	0.111242
1.022511	0.111024
1.024512	0.110808
1.026513	0.110592
1.028514	0.110376
1.030515	0.110162
1.032516	0.109949
1.034517	0.109736
1.036518	0.109524
1.038519	0.109313
1.040520	0.109103
1.042521	0.108893
1.044522	0.108685
1.046523	0.108477
1.048524	0.108270
1.050525	0.108064
1.052526	0.107858
1.054527	0.107654
1.056528	0.107450
1.058529	0.107247
1.060530	0.107044
1.062531	0.106843
1.064532	0.106642
1.066533	0.106442
1.068534	0.106242
1.070535	0.106044
1.072536	0.105846
1.074537	0.105649
1.076538	0.105453
1.078539	0.105257
1.080540	0.105062
1.082541	0.104868
1.084542	0.104674
1.086543	0.104482
1.088544	0.104289
1.090545	0.104098
1.092546	0.103907
1.094547	0.103717
1.096548	0.103528
1.098549	0.103340
1.100550	0.103152
1.102551	0.102965
1.104552	0.102778
1.106553	0.102592
1.108554	0.102407
1.110555	0.102222
1.112556	0.102039
1.114557	0.101855
1.116558	0.101673
1.118559	0.101491
1.120560	0.101310
1.122561	0.101129
1.124562	0.100949
1.126563	0.100770
1.128564	0.100591
1.130565	0.100413
1.132566	0.100236
1.134567	0.100059
1.136568	0.099883
1.138569	0.099707
1.140570	0.099532
1.142571	0.099358
1.144572	0.099184
1.146573	0.099011
1.148574	0.098839
1.150575	0.098667
1.152576	0.098496
1.154577	0.098325
1.156578	0.098155
1.158579	0.097985
1.160580	0.097816
1.162581	0.097648
1.164582	0.097480
1.166583	0.097313
1.168584	0.097146
1.170585	0.096980
1.172586	0.096815
1.174587	0.096650
1.176588	0.096485
1.178589	0.096322
1.180590	0.096158
1.182591	0.095996
1.184592	0.095834
1.186593	0.095672
1.188594	0.095511
1.190595	0.095350
1.192596	0.095190
1.194597	0.095031
1.196598	0.094872
1.198599	0.094714
